"Id","Indicator","CollectionFrequency","YearType","Year","Total","Apr","May","Jun","Q1","Jul","Aug","Sep","Q2","Oct","Nov","Dec","Q3","Jan","Feb","Mar","Q4","Polarity"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2020/2021","2813.00","0.00","0.00","0.00","0.00","0.00","0.00","843.00","843.00","1181.00","143.00","612.00","1936.00","34.00","0.00","0.00","34.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2021/2022","15163.00","649.00","1047.00","889.00","2585.00","1129.00","948.00","1085.00","3162.00","1541.00","1529.00","1254.00","4324.00","1708.00","1513.00","1871.00","5092.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2022/2023","","1467.00","1733.00","1707.00","4907.00","1920.00","1323.00","2145.00","5388.00","2092.00","2622.00","1661.00","6375.00","","","","","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2011/2012","44185.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2012/2013","41606.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2013/2014","44231.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2014/2015","48102.00","3544.00","3241.00","3819.00","10604.00","4947.00","5199.00","4880.00","15026.00","4502.00","4192.00","2765.00","11459.00","3918.00","3204.00","3891.00","11013.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2015/2016","43818.00","3075.00","3475.00","3712.00","10262.00","4476.00","4088.00","4052.00","12616.00","3613.00","3754.00","2720.00","10087.00","3763.00","3740.00","3350.00","10853.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2016/2017","23080.00","3763.00","3211.00","3312.00","10286.00","2827.00","1804.00","1277.00","5908.00","1354.00","1272.00","1046.00","3672.00","1081.00","1051.00","1082.00","3214.00","Up is Good"
"LIB01-H","Library Visits - Haxby Explore","Monthly","Financial Year","2017/2018","25337.00","1035.00","1129.00","1187.00","3351.00","2334.00","3791.00","3138.00","9263.00","2702.00","2242.00","1639.00","6583.00","2290.00","2054.00","1796.00","6140.00","Up is Good"
