indicator_id,Activity,LibraryName,CollectionFrequency,financialYear,Total,April,May,June,Q1,July,Aug,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2016-03-31,24612.0,1680.0,1869.0,2140.0,5829.0,2428.0,2520.0,2237.0,7185.0,2251.0,2036.0,1581.0,5868.0,1939.0,1944.0,1847.0,5730.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2017-03-31,24702.0,2264.0,1975.0,2347.0,6586.0,2120.0,2092.0,2164.0,6376.0,2387.0,1832.0,1656.0,5875.0,2009.0,1889.0,1967.0,5865.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2018-03-31,23164.0,1699.0,1709.0,1833.0,5241.0,2062.0,2164.0,2162.0,6388.0,2114.0,2021.0,1627.0,5762.0,2192.0,1654.0,1927.0,5773.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2019-03-31,23446.0,1802.0,1699.0,1839.0,5340.0,2203.0,2193.0,2184.0,6580.0,2120.0,2288.0,1384.0,5792.0,1852.0,1747.0,2135.0,5734.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2020-03-31,22258.0,1958.0,1800.0,1802.0,5560.0,1937.0,2104.0,1943.0,5984.0,1919.0,2060.0,1406.0,5385.0,1920.0,2139.0,1270.0,5329.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2021-03-31,2549.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,697.0,1002.0,158.0,617.0,1777.0,75.0,0.0,0.0,75.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2022-03-31,13169.0,645.0,737.0,833.0,2215.0,1090.0,1106.0,1117.0,3313.0,1251.0,1457.0,916.0,3624.0,1423.0,1122.0,1472.0,4017.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2023-03-31,0.0,1180.0,1376.0,1272.0,3828.0,1491.0,1498.0,1556.0,4545.0,1521.0,1555.0,1253.0,4329.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2012-03-31,25419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-E,Library Visits,Dringhouses Library,Monthly,2013-03-31,23428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
